Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014944PAP_Slot1-12_1_3201.d	TU014945PAP_Slot1-11_1_3202.d	TU014946PAP_Slot1-10_1_3203.d	TU014947PAP_Slot1-09_1_3204.d	TU014948PAP_Slot1-08_1_3205.d	TU014949PAP_Slot1-07_1_3206.d	TU014950PAP_Slot1-06_1_3207.d	TU014951PAP_Slot1-05_1_3208.d	TU014952PAP_Slot1-04_1_3209.d	TU014953PAP_Slot1-03_1_3210.d	TU014954PAP_Slot1-02_1_3211.d	TU014956PAP_Slot1-24_1_3213.d	TU014957PAP_Slot1-23_1_3214.d	TU014958PAP_Slot1-22_1_3215.d	TU014959PAP_Slot1-21_1_3216.d	TU014960PAP_Slot1-20_1_3217.d	TU014961PAP_Slot1-19_1_3218.d	TU014962PAP_Slot1-18_1_3219.d	TU014963PAP_Slot1-17_1_3220.d	TU014964PAP_Slot1-16_1_3221.d	TU014965PAP_Slot1-15_1_3222.d	TU014966PAP_Slot1-14_1_3223.d	TU014967PAP_Slot1-13_1_3224.d	TU014968PAP_Slot1-36_1_3225.d	TU014969PAP_Slot1-35_1_3226.d	TU014973PAP_Slot1-31_1_3227.d	TU014974PAP_Slot1-30_1_3228.d	TU014975PAP_Slot1-29_1_3229.d	TU014976PAP_Slot1-28_1_3230.d	TU014977PAP_Slot1-27_1_3231.d	TU014978PAP_Slot1-26_1_3232.d	TU014979PAP_Slot1-25_1_3233.d	TU014980PAP_Slot1-34_1_3234.d	TU014981PAP_Slot1-33_1_3235.d	TU014982PAP_Slot1-32_1_3236.d
Q14194	Q14194	DPYL1_HUMAN	CRMP1	Dihydropyrimidinase-related protein 1	11126.6	16425.6	8657.63	9796.53	7954.06	7776.36	6143.88	7489.23	9668.08	6743.55	5197.33	6082.67	7214.74	5627.35	5972.52	9933.73	11536.4	11229.8	9579.96	9544.74	10008.1	12279.8	22464.9	5946.61	6447.41	7922.15	6299.72	7398.25	7689.33	6052.08	8225.23	8485.95	8172.01	6256.62	10635.2
Q14195	Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	15357	24784	12844	12654.8	9829.43	6422.65	10949.9	8706.35	10037.7	8102.91	8577.01	7189.3	9423.11	7978.35	8691.61	13037.9	15837.1	15029.7	11926.2	10834.2	15327.7	14868.3	34521.8	8317.95	8889.65	12119.9	8066.33	8386.02	11789.3	9361.78	9880.04	11121	12593.1	9303.34	12239.2
Q14203	Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	3990.87	5159.02	4527.63	3414.5	3718.69	7728.42		4324.78	5208.62	3691.29	2574.38	1879.92	2100.04	2531.28	2050.98	4248.61	4951.63	4720.51	4868.89	3465.27	5211.13	3062.38	4801.41	1655.46	1834.81	1657.06	2381.01	1734.23	1457.17	1615.43	1601.92	2073.25	2198.01	1710.61	4072.18
Q14204	Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	13809.9	12657.8	10907	10759.2	10484.8	13969.1	13972.5	11046.5	10345.7	8306.29	9448.86	18012.7	17478.5	17280.5	17562.4	16041.4	16699.7	15564.2	14199.1	15565.8	15519.6	12822.1	14362.8	17082.9	17264	18036.1	18131.4	17211.1	17127.1	17270.4	17576	16979.5	17965.5	17625.5	18582.2
Q14232	Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	8388.62	2433.9		2572.21	4354.11	2506.81		3610.84				4915.45	5268.58	5347.74	5727.02	4833.4	4190.55	3554.11	4641.14	5599.23	3345.18	4699.19	4440.85	5430.34	5373.99	5648.76	5723.16	6374.7	5363.73	5181.96	5698.21	5341.57	5173.05	5453.9	4606.7
Q14247	Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	14240.2	9192.75	9371.51	9286.87	10426.3	11170.6		11064.6	11842.7	9906.76	9533.84	6289.13	4642.22	5398.76	6590.01	8275.15	7643.18	9138.76	8015.69	11389.4	5951.76	11070.7	12902.4	5063.23	4018.82	4619.64	5072.26	7761.26	4459.23	4304.36	5274.91	3872.09	4840.42	6125.09	11557.1
Q14257	Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	7471.95	8801.98	8932	4751.1	7985.57	8977.83	5822.09	6103.18	6317.26	7483.79	5575.94	4720.1	4919.87	4091.43	3151.65	9065.79	9195.96	11220.7	9254.26	14323.6	11513.9	9349.57	12220.4	3313.09	3823.75	4974.2	5615.6	4192	3622.15	4547.63	4255.91	3487.67	4134.5	3401.37	10015.5
Q14258	Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	17549.4	9557.48	9642.29	7506.21	7559.44	6990.35	3298.97	6450.7	8536.35	7145.25	3567.32	13986.8	14875.7	15646	18262.2	15216.3	14123.9	14097	16340.8	16526.8	8817.99	13262.5	11285	14572.4	14363.6	14102.8	14747.8	16973.8	15574	13339	14893.4	14801.5	14571.1	16578.1	13943.8
Q14315	Q14315	FLNC_HUMAN	FLNC	Filamin-C		2296.82	1379.47	1201.08	3531.6	2887.72	2784.4	2923.84	2726.53	2245.03		3462.27	2716.36	2405.79	2881.86	2089.77	1904.4	2110.96	1589.08	1891.07	2076.81	1536.57	1924.61	2665.15	2948.08	3066.66	2731.19	3435.29	2217.3	3065.29	3253.6	2984.53	2888.6	2871.08	4074.33
Q14320	Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A				3113.05		2864.83		4590.75	2209.63			1774.41	2220.27	2438.15	2496.05	2575.01						1809.34		1319.32	1769.55	1689.97	1797.96		1244.03		3676.56	2437.73	2074.07		
Q14331	Q14331	FRG1_HUMAN	FRG1	Protein FRG1		4424.12				3889.69			7627.71		5816.25	4116.95	4150.49	3733.08	4133.73	3238.5	4736.69	3593.97	2210.31	3473.22	5234.2		4200.7	4338.51	4332.21	3608.51	3384.35	3990.04	3501.41	4972.76	4023.84	3331	4099.11	4680.74	3163.17
Q14444	Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	15642.5	15932.7	15632.7	17616.2	17462.4	17672.4	16450.6	21627.6	16553.1	15276.1	16537.7	7188.27	7313.75	7462.66	8292.94	13391.5	13747.2	14521.4	15152.8	14848.7	16028.9	15042.7	14306.6	7323.9	6856.92	7104.88	7741.75	7969.33	6647.45	6983.32	7124.24	6844.83	6696.5	6803.19	7513.17
Q14457	Q14457	BECN1_HUMAN	BECN1	Beclin-1	93395.6	12101.9	25708.7			3011.53							3927.29	6393.95	5721.54	13372.3	2297.41	11083.8	4815.41						1946.8		6988.9		1735.1	1895.62	3816.18	1581.29	3648.52	4374.7	3329.01
Q14498	Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	14756.6	17934.4	15728	16389.4	14597.5	18416.4	13458	18329	15012.4	11134	11624.2	14648	14742.8	13467.2	15091.9	18219.9	19168.9	18669.8	16786.2	17648.5	18142.4	15188.2	16622.7	12890.3	14756.5	14668.8	14744.3	15462.5	13368.7	14610.9	14616.8	14067.4	13979.5	14085.6	13060.2
Q14525	O76009;Q14525;Q15323	KT33B_HUMAN	KRT33B	Keratin, type I cuticular Ha3-II	9625.86	2355.96	6237.7		8046.81	2669.61	9393.83		7064.59	6112.09	16521.9	3091.15	2282.53	2885.63	4740.92	4869.1		4016.45	5354.14	7225.73		7589.22	9727.85	3336.94		2662.54	8425.51	4100.22			2114.86		2277.37	2482.82	2836.3
Q14527	Q14527	HLTF_HUMAN	HLTF	Helicase-like transcription factor		6278.5	4736.04		6388.48							10500.1	8301.93	9448.51	8897.83	12460	10747	8963.13	6766.98		11664.4	3922.92	5184.06	9521.63	9402.92	8756.75	8124.77	9825.3	8240.9	8073.27	8871.72	8458.61	8260.33	9288.62	8710.46
Q14554	Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5	5403.01	3165.95	4631.02	3382.32	3827.48		3716.88	2741.58	2996.71	7185.05		10045.3	9760.86	9211.04	9317	7819	6315.85	5237.48	5929.93	4619.32	3954.35	4226.25	3773.48	10053.3	9084.93	9606.17	9633	9560.28	9375.55	9497.02	8705.67	8786.98	9121.62	9537.8	8167.68
Q14558	Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	6398.98	4614.09	5566.03	7354.61	6290.76	7093.23	5323.22	6078.43	4152.37	3729.8	4843.55	5649.35	5417.74	5307.77	4886.74	6974.88	5280.64	6978.52	5922.16	7250.87	3845.43	7679.04	7176.92	5095.83	5193.96	5556.6	5414.8	6169.89	5023.94	5062.73	5533.27	5109.24	4465.12	4654.65	6265.48
Q14562	Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8	2744.65	3327.58										2102.5	1889.82	1791.1	2316.67	5618.3	3906.99	2336.86	2237.04	5493.3	2844.82	2679.52	4747.87	2720.4	2890.17	2160.08	2465.51	2294.91	2404.43	2196.48	2671.77	2962.81	2552.6	2869.47	2390.06
Q14566	Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	16639.1	11474	10566.6	10575.1	15597.8	10204.4	12473.8	9953.71	11308.5	11687.2	16088.6	17439.4	17187.8	16092.3	15808.4	13230	12445.1	18162.6	13331.2	12752.8	11507.3	14084.2	13062.1	17129.1	17039.6	16645.7	16968.7	17242	16609.2	16442.7	16353	16883.5	16096.7	17476.5	15024.2
Q14574	Q14574	DSC3_HUMAN	DSC3	Desmocollin-3	57988.5	9881.3	48269.1	24684.1	72190.9	26376.3	101600	24239.8	30665.5	41635.3	54013.1	15535.1	8453.79	32657.8	21297.3	22439	6229.12	26419.8	28617.5	25363.5	7589.62	33838.2	17291.5	11020.9	4014.44	20017	32164.8	29311.7	4090.4	1689.79	12851.1	1512.51	11487.5	9850	11944.5
Q14669	Q14669	TRIPC_HUMAN	TRIP12	E3 ubiquitin-protein ligase TRIP12	2478.29	2550.96										2400.55	2150.18	2362.83	2205.43	1469.45		1158.42	1080.8	2418.79		1086.38	1914.92	2427.71	2771.73	2235.96	2066.61	2280.55	2049.49	2127.79	2636.83	2523.62	2402.6	2336.33	2198.25
Q14671	Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1	2236.28	1690.71	1873.19		2289.07	1451.76		1528.04		1596.06	1126.87	3849.87	4236.69	4422.15	4143.41	2874.48	2359.63	4516.76	3068.11	2758.47	1763.82	1496.67	2086.3	4042.82	3790.29	4323.15	4264.68	3349.13	4329.5	3990.97	4162.63	4326	4329.62	4256.71	4048.59
Q14683	Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	10672.1	5905.91	6504.17	7041.28	8689.39	8223.68	10539.5	6782.67	7189.16	6894.87	9135.51	8813.21	8676.34	8179.65	9079.53	9100.43	8349.3	8949.76	8615.05	8469.75	9422.4	9415.99	8117.29	7904.31	8541.62	8467.36	9477.03	9200.75	8039.67	8080.2	8634.77	8363.34	8746.49	8199.92	7727.83
Q14694	Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	5181.51	3881.83	4332.61	5051.37	4483.09	4742.7	3078.4	3541.54	6532.85	4042.04		7029.18	7440.56	8165.91	8146.07	7248.79	6864.57	7051.14	6742.43	6178.17	5472.72	3989.67	4623.18	7576.58	7730.42	8003.56	7605.85	7796.61	6734.31	8098.7	7905.57	7009.44	7343.38	8504.49	7495.69
Q14696	Q14696	MESD_HUMAN	MESD	LRP chaperone MESD	3369.39	6854.19	8780.48	5828.33	5262.82	6071.05	4400.14	15536.9	4936.06	3666.31	3808.88	9659.21	9303.75	9914.14	9679.46	4241.06		4921.67	4320.35	4843.22	5526.05	3561.53	4825.74	10934	9878.69	8430.99	9132.47	9009.82	8259.28	8366.57	9228.44	9440.19	9253.32	9208.96	8039.73
Q14697	Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	46590	40198.9	42597.4	53918.6	35682.1	43906.3	59325.3	40939.4	41025.8	40365.4	38987.9	26307.7	21364.4	26818.8	23230.6	49735.9	60375.5	45507.4	51039.8	51928	75289.9	44690.6	58218.6	23263	22520.1	28960.3	30785.5	27110.7	24717.3	24548.5	29294.6	23819.9	23007.3	22320.4	27499
Q14738	Q13362;Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform												2537.29	2014.86	1994.85	2917.05									2825.26	2116.5	2583.52	3030.71	2801.43	1467.3		1974.77	2607.16	2281.78	2346.98	2315.81
Q14739	Q14739	LBR_HUMAN	LBR	Lamin-B receptor	8176.34	5398.2	4867.79	4924.4	5986.06	5672.23	7789.07	4438.17	6773.69	6223.99	5712.01	3517.2	3513.54	3072.07	3656.59	4655.88	3792.87	6334.28	6241.45	5262.48	4786.45	6862.03	6957.3	4731.06	4910.28	4269.2	3713.37	4992.36	4876.33	2478.72	2886.82	1558.52	3672.73	3527.5	4552.96
Q147X3	Q147X3	NAA30_HUMAN	NAA30	N-alpha-acetyltransferase 30		3507.83		6703.36	3319.46	4022.62	3935.46	4278.17		3028.37		6137.71	6024.74	7068.73	7236.13	5638.39	7404.38	3898.87	4796.31	4251.62	4267.76			6699.06	5981.27	6483.68	6272.36	6735.79	6202.24	5735.1	5955.93	4668.12	6496.5	7328.51	5547.32
Q14839	Q14839;Q8TDI0	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	18202.7	15333.2	14158.1	17476.9	14892.5	14253.9	14309.8	14734.2	11726.8	11483.9	13366.6	15365.1	15124.6	14982.5	14903.8	19921.6	19782.8	18389.1	17351.6	17587.8	17302.5	17141.8	16556.7	15014.7	14557.8	14699	15029.4	14367.9	15153.7	14756.1	15532.6	16145.7	15200.5	14845.9	14155.5
Q14847	Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	18213.7	16505.8	13655.8	10993.4	13318.9	13830.6	14488.6	12214.1	15677.8	15666.1	10453.6	7882.67	7306.46	7920.52	9462.32	14807.8	13202.8	15159.6	16120.2	16436.8	12284.4	15529.8	16022.9	7889.91	7161.13	7623.62	7016.24	7906.08	6776.86	7435.46	7305.97	6706.17	8044.78	7789.04	21441
Q14919	Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor												6172.47	6175.68	5619.13	6602.6	1767.97	1939.15		2152.62			1561.19		6615.74	7682.6	6768.46	5890.78	6363.71	6947.1	10137.2	6526.14	7561.63	6621.92	7145.68	6021.91
Q14974	Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	18978.1	17761.3	17153.1	21807.2	21794.2	25618.7	18829.4	34960.1	16751	24541.6	24622.2	10316.1	10041.2	10254	11504.4	18155.2	18917.1	17348.9	16341.3	20021.3	22274.7	17911.2	23171.8	9358.39	10182.7	10919.8	10746.4	10791.5	8769.56	10331.8	10496.6	10315.7	10523.3	10758.6	11107.7
Q14978	Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	7726.85	11934.3	9412.04	12395.7	9430.4	9098.22	6685.16	9100.89	8684.65	6492.28	2896.74	15893.6	14361.6	17265.4	15945.4	15786.8	15855.4	12534.1	12678.2	12811.4	14293.3	11386	13488.9	16684.9	14217.3	15013.7	13996.9	16739.5	16373	16287.7	16994.8	15432.1	13341.9	14195.8	13363.5
Q14980	Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	5834.19	6763.01	3827.96	6075.27	5466.46	7061.16	5573.94	6763.22	4073.27	6858.11	6051.07	4092.49	4034.41	2784.92	3388.52	4593.51	3705.68	6038.75	2996.51	5024.6	5900.6	4747.02	6568.5	3022.8	3320.25	3129.62	3205.71	4377.17	3116.59	3386.75	3576.98	2997.3	3747.09	3209.2	3779.22
Q14C86	Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1		7561.52	10072.9		8647.5	8965.83			12172.4			8230.14	8068.43	8809.58	8545.6	7291.26	10276.3	6342.31	7368.03	7016.75	4425.57	3374.91		7468.38	7617.85	7750.78	7771.32	8552.61	7980.54	8631.59	7166.85	7147.92	7710.9	7486.83	7365.62
Q14CX7	Q14CX7	NAA25_HUMAN	NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit		2021.25	2359.6		2625.88		2569.76	1359.63	2534.72	10514.8		9895.23	9447.84	10369.7	9554.76	5282.53	5017.19	3173.2	4400.56	5475.7	6213.1	4374.78	10789.6	11618.8	9923.6	10830.1	10413.2	11361.2	9910.21	9637.04	10456.2	10449	10905.8	11540.3	9651.31
Q15003	Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2	4255.08	3711.37	3996.13	7703.3	3872.42	4892.53	3052.02	3503.62	3097.61		2564.9	6968.21	6766.59	6577.81	7279.31	6134.35	5730.04	5857.13	6908.79	5873.05	4250.17	6744.38	4669.72	7283.15	6774.27	6938.84	6735.94	8121.13	7098.87	7922.36	6584.82	6433.94	7131.96	6910.47	6627.54
Q15007	Q15007	FL2D_HUMAN	WTAP	Pre-mRNA-splicing regulator WTAP		3069.28	3992.96	4920.72	3005.44	2483	3691.5	3712.61	2995.91	3536.86	3302.36	3033.99	2135.88	2537.41	3763.35	3933.92	3027.47	3307.08	3512.82	3447.77	3240.51	2942.18	3414.86	2546.54	3140.6	2402.29	2964.71	2895.89	2596.97	2733.75	2179.41	2281.31	2680.78	2269.29	2701.3
Q15008	Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6	9934.73	7525.1	9842.23	6446.1	8847.45	7178.44	8078.74	7227.71	8416.32	6192.58	6945.74	8871.96	8373.19	6822.03	6051.55	6751.35	7213.1	8404.97	7959.85	10071.4	14475.4	7848.07	7817.29	5780.31	7446.9	8837.18	9439.15	7236.83	5961.03	5790.28	7600.27	5877.88	6074.83	6780.56	9079.03
Q15014	Q15014	MO4L2_HUMAN	MORF4L2	Mortality factor 4-like protein 2								20423.6		13077.7	1691.16	5406.68	5576.7	5242.68	5304.29		1353.64	2660.35	1677.25		1828.84	2491.92		6293.98	6395.29	5581.78	5949	5421.7	5488.24	7556.29	5899.38	6542.81	4941.43	6217.31	7371.07
Q15019	Q15019	SEPT2_HUMAN	SEPT2	Septin-2		6523.22	7973.36	5863.13	13496	5849.36	13801.8	7958.87	7680.71			12774.7	12998.9	12272.7	12663.6	9693.65	9044.08	7725.89	7944.06	7679.24	7092.11	7419.85	7157.24	13117	13205.5	12627.4	12891.4	12755.3	12337.5	12999.1	12407.7	12597.1	13388.4	13164.6	12703.8
Q15020	Q15020	SART3_HUMAN	SART3	Squamous cell carcinoma antigen recognized by T-cells 3	5888.35	3356.67	2036.97	2382.48	3587.95	2947.32	2361.17	3694.3	2272.8	2068.98	2361.35	4724.28	5112.01	4420.96	4109.36	4287.33	4611.48	5473.23	4345.08	5095.51	4910.42	4260.45	5110.19	5058.58	4869.55	4817.53	4651.04	4430.49	5019.04	4616.12	4879.07	4998.64	4419.08	4546.58	4788.94
Q15021	Q15021	CND1_HUMAN	NCAPD2	Condensin complex subunit 1	8403.47	7847.88	7409.31	7337.19	8213.14	6451.35	7661.62	6909.57	7233.86	5701.21	3822.55	11121.2	11058.5	11089	10697.6	14332.1	13551.1	11417.3	12569.1	11095.7	10595.2	9696.38	7932.46	11084	10644.1	10716.4	10414.6	10716.1	11148.7	11173.4	11185	11776	10616.5	11141.3	9797.31
Q15022	Q15022	SUZ12_HUMAN	SUZ12	Polycomb protein SUZ12		790.191	889.177			445.641			916.595	597.396		1008.1	564.587	969.455	950.791	1017.51								893.227	634.5	959.938	794.698		786.851	687.318	1058.08	743.466	814.469	798.931	640.351
Q15024	Q15024	EXOS7_HUMAN	EXOSC7	Exosome complex component RRP42											2602.96	2312.18	1610.85	1780.66	2005.83	1866.81		1292.52	1763.19	1321.88		2133.33		2444.75	1996.79	2192.92	1983.95	3316.88	1907.91	1460.14	2205.03	2077.96	2127.86	2236.89	1798.41
Q15029	Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	7580.96	6357.96	6184.35	7977.16	7563.41	6449.38	6419.85	8375.35	6381.36	9105.58	5349.41	9145.51	9919.03	9339.91	9690.36	9462.63	8697.4	8974.54	8891.59	9156.89	9206.05	7208.15	7353.99	8814.23	9447.71	9579.62	9914.86	9988.93	9278.87	10166.8	10187.5	9387.21	9177.54	10108.2	8560.04
Q15031	Q15031	SYLM_HUMAN	LARS2	Probable leucine--tRNA ligase, mitochondrial		2975.25										2596.64	2577.89	2838.18	4193.08		3261.64	2917.5	4026.77	2376.78	5290.24			2812.54	2659.37	3015.27		2473.51	2575.29	1711.54	2766.14	2456.37	2855.62	2473.85	3036.77
Q15032	Q15032	R3HD1_HUMAN	R3HDM1	R3H domain-containing protein 1		1488.11										2577.18	2963.87	1918.22	3729.72									2328.22	2366.79	2328.28	2809.78	3567.78	1810.37		2137.43	1388.8	2779.48	2598.73	2290.28
Q15036	Q15036	SNX17_HUMAN	SNX17	Sorting nexin-17												794.755	792.555	715.017	1191.79									634.291	909.985	515.024	678.902	1441.14	732.56	604.18	877.767	877.553	658.969	827.637	438.835
Q15046	Q15046	SYK_HUMAN	KARS	Lysine--tRNA ligase	10534.9	11414.9	10401.1	11531.9	10963.5	9956.38	13820.7	10917.9	9224.51	13093.7	15040.7	14552	14213.8	14374.2	15325.2	13982.9	15963.5	13090.9	14639.6	14326.7	14034.2	13485.2	10892.5	14531	14745.7	15163.8	15018.9	15295.4	14078.6	15139.6	14979	12990.4	14759.6	16064.5	14390
Q15047	Q15047	SETB1_HUMAN	SETDB1	Histone-lysine N-methyltransferase SETDB1												1289.85	1118.08	1220.8	1574.09	1306.87		568.01	447.963					798.897	752.31	837.813	1048.23	1163.48	800.132	1032.39	1200.94	879.963	639.657	769.929	901.557
Q15054	Q15054	DPOD3_HUMAN	POLD3	DNA polymerase delta subunit 3		3528.88	4527.35					3465.5			1238.3	5856.77	5489.94	5234.21	5709.45	3724.94	5556.88	4640.67	3957.34	2805.97			3636.47	5995.44	5799.86	4923.82	5566.65	6145.53	5708.04	5955.3	6039.52	5281.98	5848.01	5192.65	4557.54
Q15056	Q15056	IF4H_HUMAN	EIF4H	Eukaryotic translation initiation factor 4H	26658.3	34364.6	24300.4	38687.7	26467.7	33142.7	30240.1	39602.3	30456.6	29005.8	33003.8	5693.05	6832.72	5042.14	7194.86	22315.9	24406.6	27429	21971	21112.6	31318.9	27285.3	34536.5	10055.4	5656.84	5391.74	5979.67	7050.94	5020.15	5728.96	6606.88	5011.89	6181.64	6693.36	8124.57
Q15057	Q15057	ACAP2_HUMAN	ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2												2862.42	2717.67	2688.6	2642.45									1767.82	2475.87	2837.25	3131.16	2682.86	2470.15	2749.05	1963.99	2326.57	3192.44	2997.45	2219.1
Q15059	O60885;Q15059;Q58F21	BRD3_HUMAN	BRD3	Bromodomain-containing protein 3	5053.39	5223.18	6007.22	4331.69	6649.31	5787.32		9223.42	5406.14	5926.15	2413.87	6596.69	6089.53	5872.86	5597.8	6657.59	5379.06	6456.38	5628.34	6360.09	4043.91	4988.49	4498.83	5877.03	5568.75	6178.2	5029.55	5580.28	6342.93	6129.11	5552.72	6855.65	6011.55	5859.24	5598.8
Q15061	Q15061	WDR43_HUMAN	WDR43	WD repeat-containing protein 43	3517.26	1711.28	2125.98			2346.8	2998.56	3307.62		1975.85		4978.44	4805.06	4574.37	5020.29	2770.99	2943.31	2430.22	2963.52	2680.45	2258.06	2311.33	2771.25	4770.8	5696.03	5191.59	5381.27	6098.34	4874.65	4845.83	4072.27	3876.14	4400.1	5603.53	4309.12
Q15075	Q15075	EEA1_HUMAN	EEA1	Early endosome antigen 1												1520.29	1440.32	1409.92	1403.09			1365.76			1355.95	1320.34		1789.07	1987.04	1993.69	1960.11	1716.86	1457.97	1060.3	1451.26	1763.83	1303.93	1258.78	2249.1
Q15084	Q15084	PDIA6_HUMAN	PDIA6	Protein disulfide-isomerase A6	25771.2	29292.5	29376.3	27198.9	25821.9	31174.5	24279.6	29809.5	27023.2	30422.6	24839.8	8814.81	9351.79	10030.5	8880.36	29270.6	31793.3	30810.8	31807.7	32942.1	34004.6	28843.1	32002.6	8605.47	8527.37	9237.96	11041	10001.3	8908.69	8738.36	8553.39	9025.77	9022.76	8102.15	17603.5
Q15102	Q15102	PA1B3_HUMAN	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit gamma	9136.83	13224.3	8316.02	9826.64	5791.02	7967.32	5719.37	6678.61	6482.9	6979.59	4149.4	9904.85	9297.53	7916.69	7804.91	11125.9	13328.6	16440.2	8452.02	11770.6	11916.6	12134.3	16979.6	5860.79	6593.85	8680.14	7754.27	8515.17	6235.92	3782.16	8266.43	7065.83	10088.4	7110.25	8499.44
Q15120	Q15120	PDK3_HUMAN	PDK3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial																					2170.75						2486.95								2848.54
Q15121	Q15121	PEA15_HUMAN	PEA15	Astrocytic phosphoprotein PEA-15		8581.54	3771.98	6509.6		2051.46		3192.66	2768.78			3930.8	4305.03	4070.65	3809.78	6068.89	6588.53	11458.8	5198.58	6464.82	4572.57		8383.34	3257.39	3198.62	3208.63	3731.33	3754.31	2667.64	5035.71	3633.75	2888.82	3964.72	4044.35	11474
Q15126	Q15126	PMVK_HUMAN	PMVK	Phosphomevalonate kinase	5066.07	5792.65	4059.98	4247.39	3769.19	4638.07	6461.55	5220.53	5062.08	2823.74	5038.19	1749.34	1447.35	2386.8	2016.51	4568.77	3969.39	5076.56	4215	5182.66	4752.21	5999.49	6005.11	1895.33	1384.13	1238.07	1686.99	1834.27	1240.28	1768.03	1848.21	1902.79	1649.13	1652.25	4239.62
Q15149	Q15149	PLEC_HUMAN	PLEC	Plectin	16161.7	5656.12	17454.6	9590.17	19472.7	8270.18	36098.6	8664.66	14613.9	14473.6	22223.9	6725.24	6427.49	8549.89	9273.48	7841.67	6923.95	10803.2	12019.9	16039	5850.34	12750.4	7992.09	6814.12	8444.54	7453.68	10409.1	17655.2	5291.95	9132.93	7138.84	4757.08	10613.2	6550.38	14218.4
Q15181	Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	30989.3	41103.7	30106.4	38439.2	26740.4	33918.8	33145.8	37264.6	37220.5	25375	31647.5	11863.1	15519.6	13605.5	15984.6	32081.1	40769.8	50484.5	36674.3	32730.8	41570.8	38926.4	34067.9	11975.7	13153.2	13260.9	13686.7	14439.6	12475.6	7983.57	17469	12142.4	13148.3	12147.3	17139.7
Q15233	Q15233	NONO_HUMAN	NONO	Non-POU domain-containing octamer-binding protein	69649.9	88243.8	62315.7	79370	72459.1	73109	66350.8	90220.9	74721.6	79672.5	74919.8	71883.4	76214.7	68554.2	79204.9	78379	84606.7	95350.4	73651.1	77965.8	83267.7	74075.5	92654.8	68443.5	76408.1	77804.1	73351.8	71989.9	71004.1	78536.2	76879.1	70507	80701.5	71819.7	77467
Q15276	Q15276	RABE1_HUMAN	RABEP1	Rab GTPase-binding effector protein 1		930.91							1584.8			1393.96	1613.45	1616.7	1148.04					2037.05				1281.92	1635.41		1801.36	1887.03	1382.52	1030.78	1491.6	1557.1	1352.88	1303.92	1873.13
Q15286	Q15286	RAB35_HUMAN	RAB35	Ras-related protein Rab-35			579.56									697.94	759.561	785.69	572.177		338.486				857.811		759.576	494.479	833.702	863.46	856.837	735.492	951.229	825.968	819.941	512.727	477.659	601.12	1573.88
