Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014892CK_Slot1-01_1_3148.d	TU014893CK_Slot1-02_1_3149.d	TU014894CK_Slot1-03_1_3150.d	TU014895CK_Slot1-04_1_3151.d	TU014896CK_Slot1-05_1_3152.d	TU014897CK_Slot1-06_1_3153.d	TU014898CK_Slot1-07_1_3154.d	TU014899CK_Slot1-08_1_3155.d	TU014900CK_Slot1-09_1_3156.d	TU014901CK_Slot1-10_1_3157.d	TU014902CK_Slot1-11_1_3158.d	TU014903CK_Slot1-12_1_3159.d	TU014905CK_Slot1-25_1_3161.d	TU014906CK_Slot1-26_1_3162.d	TU014907CK_Slot1-27_1_3163.d	TU014908CK_Slot1-28_1_3164.d	TU014910CK_Slot1-30_1_3166.d	TU014911CK_Slot1-31_1_3167.d	TU014912CK_Slot1-32_1_3168.d	TU014913CK_Slot1-33_1_3169.d	TU014914CK_Slot1-34_1_3170.d	TU014915CK_Slot1-35_1_3171.d	TU014916CK_Slot1-36_1_3172.d	TU014919CK_Slot1-14_1_3177.d	TU014920CK_Slot1-15_1_3178.d	TU014921CK_Slot1-16_1_3179.d	TU014922CK_Slot1-17_1_3180.d	TU014923CK_Slot1-18_1_3181.d	TU014924CK_Slot1-19_1_3182.d	TU014925CK_Slot1-20_1_3183.d	TU014926CK_Slot1-21_1_3184.d	TU014927CK_Slot1-22_1_3185.d	TU014928CK_Slot1-23_1_3186.d	TU014931CK_Slot1-37_1_3189.d	TU014932CK_Slot1-38_1_3190.d	TU014933CK_Slot1-39_1_3191.d	TU014934CK_Slot1-40_1_3192.d	TU014935CK_Slot1-41_1_3193.d	TU014936CK_Slot1-42_1_3194.d	TU014938CK_Slot1-44_1_3196.d	TU014939CK_Slot1-45_1_3197.d	TU014940CK_Slot1-46_1_3198.d	TU014941CK_Slot1-47_1_3199.d	TU014942CK_Slot1-48_1_3200.d
Q09472	Q09472	EP300_HUMAN	EP300	Histone acetyltransferase p300	1543.52	1800.14	1550.93	1416.67	1487.04	1402.34	1838.42	1311.32	1421.39	1471.44		2457.26	2216.54	1692.43	1796.55	883.399	1457.89	1524.88	1291.55	1279.06	941.08	1183.88	1471.84	2596.73	3195.21	2972.3	2876.1	3092.75	2885.22	2841.32	3147.33	2595.01	2476.92	2777.6	2688.46	2542.67	2781.41	3142.51	2731.15	2766.28	2369.56	2905.97		3460.2
Q09666	Q09666	AHNK_HUMAN	AHNAK	Neuroblast differentiation-associated protein AHNAK	6788.1	6876.65	6655.39	6662.45	6931.65	7063.16	8259.13	6609.19	7207.6	7764.72	7110.25	9885.41	9009.84	6289.55	8170.33	6713.91	5266.83	5482.68	5150.25	5229.03	6082.28	4550.94	5120.42	8518.8	8754.29	8419.27	9122.17	8505.71	8951.45	8587.4	8722.84	8054.34	8912.09	7682.81	7240.53	6812.74	7464.17	7028.94	6979.33	7129.28	5754.95	7493.54	7334.5	8283.01
Q0JRZ9	Q0JRZ9	FCHO2_HUMAN	FCHO2	F-BAR domain only protein 2	1241.75	825.282	1636.89	1396.67	1177.28	1478.55	1527.93	940.66	854.775	1857.5	1368.61	1584.42	964.008	1565.45	1149.63	811.991	1107.04	1556.36	728.58	1256.69	1483.34	1134.16	1297.84	1200.76	1680.11	1004.02	1706.8	1024.32	1903.07	1466.41	1568.05	1416.23	1643.59	1184.26	1355.47	2103.2	1662.2	2294.95	1395.87	1414.74	2275.16	1696.47	1219.95	2152.54
Q0VDF9	Q0VDF9	HSP7E_HUMAN	HSPA14	Heat shock 70 kDa protein 14	4537.84	4457.99	3495.08	4398.89	4307.62	4619.23	4823.37	4026.44	4596.9	4385.13	5580.32	3518.52	4460.52	4577.1	4469.2	3520.46	4624.74	4859.54	4485.74	4523.09	4857.44	4764.69	4489.51	5751.97	5739.77	6325.29	5588.43	4547.72	5364.18	5731.7	4999.21	4627.83	4483.27	6175.22	4454.96	6348.15	4970.73	5154.65	6666.18	5506.53	4245.23	5559.1	4416.51	3342.05
Q10471	Q10471	GALT2_HUMAN	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2	516.93					1108.74	539.252			631.749			2368.6	589.955		1082.24						2532.09					2151.77				2558.16		2088.79		1717.05	2654.34			2114.42		3486.96			1708.63
Q10567	Q10567	AP1B1_HUMAN	AP1B1	AP-1 complex subunit beta-1	3413.73	2831.66	2578.4	2772.63	2700.96	3018.21	2556.66	2241.2	3310.09	2469.32	3934.67	2770.15	2130.28	2266.43	2509.79	2463.02	2663.86	3160.88	2705.68	2645.74	2407.65	2730.18	3276.58	3567.7	3814.74	3798.33	3128.71	3335.32	3454.68	3522.44	3279.87	3521.85	3057.57	3835.08	4149.03	4663.78	4373.99	3776.34	4750.2	3835.17	3272.08	4304.78	3964.16	3247.43
Q10570	Q10570	CPSF1_HUMAN	CPSF1	Cleavage and polyadenylation specificity factor subunit 1	2000.85	1933.67	2363.03	2091.86	2103.97	2004.64	2134.71	2480.83	2225.18	2265.27		2276.66	1905.21	2257.88	2182.9	1849.33	2073.1	2297.8	2123.77	2558.71	1546.88	2300.69	2706.73	3111.06	2816.91	2513.62	2977.81	2850.42	2846.78	3108.33	2759.31	3018.38	2537.12	3136.36	2840.21	3125.9	2904.15	2771	3057.07	3017.78	3367.42	3094.46	2734.3	2388.69
Q10713	Q10713	MPPA_HUMAN	PMPCA	Mitochondrial-processing peptidase subunit alpha	1108.08	1197.5	992.684	969.761	1290.6	2165.41	1111.79	1036.18	1099.81	1350.86		1462.07	2679.31	1119.4	1346.45	1257.66	1617.7	1193.14	1016.09	1438.01		1489.68	1109.28	3618.3		3174.77	3014.41	6342.39	3404.56	2781.87	3764.5	7219.7		4865.94	3462.41	5777.33	4728.08		7128.88	5317.87	3618.86	4371.34		4002.68
Q12756	Q12756	KIF1A_HUMAN	KIF1A	Kinesin-like protein KIF1A	1504.17	2033.47	1859.5	2010.31	2143.1	1829.83	2062.33	1648.14	1503.75	3080.5		2825.95	2096.52	1992.61	2064.37	3587.15	1636.97	1483.53	2291.14	2081.98	2541.76	2033.54	1154.14	3332.3	3130.93	3257.93	3210.22	3307	3434.29	3303.21	3412.83	3658.14	3357.4	3481.26	3082.82	3557.46	3384.14	3422.87	3868.73	3086.41	3752.07	3192.24	3714.99	3338.76
Q12765	Q12765	SCRN1_HUMAN	SCRN1	Secernin-1				588.317				234.011	233.899			346.004							198.139				234.015																					
Q12768	Q12768	WASC5_HUMAN	WASHC5	WASH complex subunit 5	1045.47	856.705	992.485	889.052	940.66	1298.18	575.078	1087.52	965.449	1135.45		652.577	1638.16	1067.7	815.759	1035.38	1296.88	998.508	1182.16	1078.08	1025.89	1186.1	1330.96	1907.56	1655.54	1538.31	1727.59	1474.87	1558.88	1690.85	1842.04	1509.02	1565.1	1593.46	1772.68	1614.69	1768.83	1345.85	1699.88	1605.63	1546.89	1811.4	927.229	1818.81
Q12774	Q12774	ARHG5_HUMAN	ARHGEF5	Rho guanine nucleotide exchange factor 5	1875.6	1516.26	1555.01	1516.86	1255.08	902.557	1514.8	1353.12	1532.22	1146.58		1858.92	1624.95	1252.43	2536.85	1211.08	1260.9	1609.41	974.057	1245.31		925.537	834.715															1905.79						
Q12788	Q12788	TBL3_HUMAN	TBL3	Transducin beta-like protein 3	884.162		1102.24	1075.79	1019.33	877.676	1011.38	797.374	466.87			1249.14	967.507	948.727			888.348	802.007	1851.97			842.632	1292.09	1689.07	1830.9	1617.53	1586.73	1609.6	2081.41	1789.09	1468.2	1979.84		1628.72	2027.56	1984.89	1724.86	1662.25	1623.27	1647.18		1864.37	2294.13	
Q12789	Q12789	TF3C1_HUMAN	GTF3C1	General transcription factor 3C polypeptide 1	2173.38	1870.56	2027.59	2171.7	1604.52	1632.67	2160.16	2127.37	1948.21	2874.53		2858.79	1620.32	2001.03	3520.1	2036.44	1640.7	1618.98	1264.98	2300.21	3033.61	2092.87	2103.22	3325.18	3677.9	3331.03	3663.65	3610.95	4734.82	3633.5	3141.99	4142.37	3965.14	3392.47	3982.02	3735.99	3681.89	3220.78	3719.36	3972.82	3647.52	3363.84	5228.02	3678.92
Q12792	Q12792	TWF1_HUMAN	TWF1	Twinfilin-1	3411.65	3156.68	4238.47	4170.46	3853.08	2958.22	4556.68	3069.84	3404.43	3803.42		2712.26	2939.46	3550.16	2089.84	3478.69	4111.94	3688.95	3752.37	3694.81	5230	3950.28	3796.63	6168.68	5437.42	5269.31	5307.13	5180.79	6052.12	5961.14	5830.05	5644.19	7099.89	4817.52	5783.93	4574.9	4718.76	5575.69	3926.9	5311.54	7020.52	4638.3	4571.4	4811.45
Q12800	Q12800;Q9NZI6	TFCP2_HUMAN	TFCP2	Alpha-globin transcription factor CP2	365.831	336.34	658.169	389.317	653.757	346.208	365.992	584.11	1101.78				565.017	254.937			697.563	340.382	648.276	872.01	1016.95	1051.49	857.44		1693.99				1484.96	1547.85	1567.05	1521.43	1540.08	1742.08				1478.55	2029.74	1453.89		1788.09		
Q12802	Q12802	AKP13_HUMAN	AKAP13	A-kinase anchor protein 13	216.519	1013.22	978.204	1181.03	1278.26	497.604	975.118	914.954	861.558	903.787		952.725	1161.13	900.536	939.267	767.453	1178.07			952.854	1291.32	741.38	737.356	2414.68		2773.03	2504.38		2954.17		2122.92			2596.29			2011.52	2204.48						
Q12824	Q12824	SNF5_HUMAN	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	2792.32	2682.99	2175.28	2635.74	2478.77	2890.29	2653.26	2899.65	2506.92	2377.3		2639.96	2875.84	2514.25	2448.58	4428.1	2866.06	2605.26	2229.86	2817.96	2158.82	2347	2268.89	3425.2	3643.12	3658.7	3272.57	3212.49	3141.67	2861.67	3011.92	3237.57	3501.35	3166.39	3003.41	3445.1	3620.22	3630.85	2905.85	2903.89	2420.65	3391.08	2594.18	3122.48
Q12830	Q12830	BPTF_HUMAN	BPTF	Nucleosome-remodeling factor subunit BPTF	868.01	1125	784.294	877.557	919.536	930.641	854.277	1152.34	1127.62	880.527		735.306	1097.41	841.722	877.206	1584.43	647.781	935.052	1330.16	818.421	1480.92	701.583	882.074	2033.34			2232.53	1730.98	2330.46	1935.28	1943.34	1925.93	1963.7	2368.77	1707.62	2493.37	2370.96	2393.07	2684.02	1983.28	2560.21	2738.95	2191.77	2122.99
Q12834	Q12834	CDC20_HUMAN	CDC20	Cell division cycle protein 20 homolog	1671.77	2156.33	2014.8	1813.81	1945.32	1872.06	1531.98	1500.03	2010.52	2086.69		3423.4	2388.16	1980.12	2764.87	2541.06	2255.42	1382.91	1684.33	1832.84	1644.31	1921.3	1201.28	3392.08	3484.81	3060.51	3540.02	2756.94	3181.83	3186.26	3039.78	3200.4	2735.57	2888.05	2834.13	3277.49	2849.48	2968.69	2758.77	2389.05		2709.13	2281.85	2724.18
Q12849	Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1	1386.1	939.509	1674.48	1486.19	1139.61	995.59	1200.45	1968.35	1002.43		5362.91		2299.75	779.207			1508.59	1381.19	1547.42	1035.56	3291.13	2065.15																						
Q12872	Q12872	SFSWA_HUMAN	SFSWAP	Splicing factor, suppressor of white-apricot homolog	1597.98	1372.65	1023.91	1054.33	781.829	1261.85	1055.51	917.129	1016.44	1689.23		1110.32	953.869	919.071	1879.12	625.82	1403.12	900.929	1074.42	779.133	1212.16	1215.09	1113.18		1028.68	1070.61	2010.21	684.637		593.759	2171.49			2438.37	3427.45				2312.61			2258.88		7979.31
Q12874	Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3	11176.4	10998.8	10718.7	8635.65	10437.5	9768.95	9201.75	10501.1	10889.7	11685.8	8329.28	11850.8	10948.7	10367.5	10457.3	8111.82	8782.6	9020.08	8954.31	9446.66	10936.8	8594.74	9175.72	9377.96	8641.67	10885.4	10365.9	10650.2	9500	9403.06	12308.7	8376.86	12621.6	7953.44	8299.4	7380.07	7552.36	8012.74	8531.63	8157.95	7622.03	6398.52	5712.24	10580.7
Q12888	Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1	1571.09	1601.14	1291.51	1325.22	1554.92	959.885	1208.37	1172.67	1032.15	1729.19		1717.29	1929.07	1288.43	1319.85	1661.91	1333.02	1016.19	1063.5	1314.74	1951.14	1308.01	1524.36		1712.32	2125.19	1887.1	1996.32					2470.02				2164.95		1457.45					
Q12894	Q12894	IFRD2_HUMAN	IFRD2	Interferon-related developmental regulator 2	1300.14	1227.12	934.33	2455.36	1439.68	2484.9	1597.67	1211.38	1286.18	1689.77		996.065	1009.23	1539.2	1493.66	1469.35	1691.67	949.744	1364.66	2548.06	2270.56	2047.09	2192.59	2352.23	1968.7	2325.55	2440.6	2163.34	2357.31	2403.81	2191.4	2392.98	2546.97	2464.23	2369.86	2310.84	2288.61	2113.75	2245.2	2484.67	2187.15	2131.43	2485.38	2305.8
Q12904	Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	4844.57	4619.16	5580.23	5267.84	4716.22	4625.35	5053.35	5087.45	4858.28	4054.17		5476.67	4429.75	5056.02	4092.52	4515.92	4235.8	4623.25	4714.48	4184.66	4144.87	4923.69	4001.14	5121.84	4324.26	5057.03		4831.75	4850.2	5250.21	5983.89	4154.37	8175.25	7969.18	4721.24	4441.43	4312.54	3917.02	4409.54	7612.83	5438.16	4948.24	3908.27	9698.14
Q12905	Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	17429.9	20149.7	19395	18441.5	18374.2	18200.5	17261.2	17525.7	19924.8	7871.17	14466.4	19757.8	14321.3	18778.7	18049.7	11010.4	17116.6	15721.1	18908.5	18711.6	8540.27	16844	16949.4	13273	14077.8	14151.5	14978.8	12987.8	13331.2	12748.2	12684.4	15396	9625.41	14834.3	14945.2	13151.7	13864.3	14121.4	13144.8	12299.4	12501.9	13280.1	7989.59	12094.8
Q12906	Q12906;Q96SI9	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3	9619.39	10877.8	10726.8	10930.7	10648.9	9466.65	10002.6	10115.7	9276.45	7564.87	8377.15	11211.2	9614.46	11198.1	11060.1	7783.88	9783.69	10698.5	10230.8	10557.3	7146.02	10026.5	9780.77	10813.3	10113.3	10472.2	10430.8	11442.2	10447.1	10491	10743.1	10163.2	9734.76	10162	10251.1	9337.65	10753	9645.26	10433.2	9582.03	8322.51	9174.62	6435	9683.04
Q12907	Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	1168.99	878.647	779.821		760.214	904.663	1150.55	528.66		1713.32			2957.73	914.799	1309.93	2722.46			685.351			1187.4	964.798			1790.51	1702.75		1728.11		1881.48	1712.77									2331.89			
Q12923	Q12923	PTN13_HUMAN	PTPN13	Tyrosine-protein phosphatase non-receptor type 13			540.042																				787.448	2096.2	2498.1	2683.43	2181.16	2362.31	2554.25	2476.99		2451.24	1961.59	2104.06	2033.73	1981.63	2388.99	2028.91	1931.66	2217.24	1702.77	2301.11		2109.41
Q12929	Q12929	EPS8_HUMAN	EPS8	Epidermal growth factor receptor kinase substrate 8	5840.29	5707.94	5331.84	5519.66	5846.37	6268.09	5653.82	5517.75	5409.32	4601.38	8246.66	7910.4	6784.66	4212.99	7410.93	4071.94	4315.83	3862.24	3673.93	4474.31	3898.52	4210.3	4151.62	5290.62	5749.27	5147.65	5305.56	5859.76	4959.25	4950.6	5440.17	5078.08	4987.87	3879.44	4075.63	4111.93	3859.07	3799.03	3849.19	3687.05	4119.48	3676.95	4102.6	4788.02
Q12931	Q12931	TRAP1_HUMAN	TRAP1	Heat shock protein 75 kDa, mitochondrial	2641.74	2591.65	3021.79	2703.45	3489.09	4409.74	2766.16	2945.85	3444.85	3546.43	5552.89	2957.33	4730.03	2427.5	3173.66	3258.59	3349.27	3086.84	3372.95	2784.27	2731.41	3823.95	3699.71	4286.91	4676.33	4508	4729.99	4230.21	4543.62	4889.84	5173.94	4624.73	5221.07	4539.42	5048.88	4943.23	4794.57	4470.48	4784	4923.96	5042.91	4484.48	5382.68	4280.71
Q12948	Q12948	FOXC1_HUMAN	FOXC1	Forkhead box protein C1	1128.16	1443.08	824.984	970.646	681.911	906.19	999.851	879.007	755.652	1133.98		956.585	543.85	1195.1	845.981	728.296	1651.19	919.929	1476.47	1435.07	2172.91	1444.86	1043.48																					
Q12955	Q12955	ANK3_HUMAN	ANK3	Ankyrin-3	2322.96	1985.08	2121.57	1912.75	2234.61	1969.71	2318.89	1789	2258.08	2466.93	5817.51	2840.71	1864.5	2270.86	2351.55	2331.67	2543.09	1973.8	1900.68	2013.87	2274.74	1824.31	2150.48	3047.22	2963.49	2831.72	2700.38	2869.22	2994.18	2830.36	2745.04	2803.99	3596.05	2668.37	2627.39	2583.57	2631.87	2673.59	2552.83	2592.35	2501.65	2889.1	3583.68	3057.34
Q12959	Q12959	DLG1_HUMAN	DLG1	Disks large homolog 1	1930.33	1612.84	1733.45	1888.19	1475.05	1262.48	1442.34	1369.61	1775.16	1490.51		1678.25	1749.54	1637.98	1922.66	1215.25	1474.96	1480.25	1244.43	1607.45	1257.63	1148.89	1857.83	2560.73	2469.15	2723.77	3043.4	2621.63	2699.65	2579.52	2740.77	2524.96	2449.02	2003.07	2134.56	2167.32	2032.47	2310.34	2109.85	2234.16		1972.81	1719.42	2303.28
Q12965	Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie	1709.08	1931.51	1996.92	2358.3	1733.16	1817.62	1897.22	1581.52	1989.72	1935.76		2348.35	2831.74	1899.22	2727.41	2191.73	1903.4	1661.41	2120.32	1556.8	1762.34	1717.16	1664.55	2436	2505.97	2691.1	2138.06	2358.87	2818.1	3009.69	2244.77	2420.84	2752.92	2311.7	1963.2	2725.48	2192.86	2926.61	2676.31	2446.23	1765.93	2638.44	2820.92	2766.51
Q12972	Q12972	PP1R8_HUMAN	PPP1R8	Nuclear inhibitor of protein phosphatase 1	2499.81	3111.32	3080.73	3214.46	3173.05	3332.04	2303.82	3496.94	3542.26	2683.1		4682.58	3601	3163.5	3332.62	2387.12	2875.71	2939.23	3111.95	3085.13	3145.32	2614.27	2791.87	3667.83	3727.25	3716.43	3696.28	3689.99	3808.85	3513.32	3688.97	3632.79	3439.74	3214.5	3159.8	3133.87	2891.46	3039.18	3131.26	2830.56	2336.75	3177.84	3394.17	3186.16
Q12979	Q12979	ABR_HUMAN	ABR	Active breakpoint cluster region-related protein	1126.86	925.35	1474.05	1185.2	1319.98	1168.82	1311.16	1050.03	1353.03	1455.1		2313.03	1598.55	1765.63	697.584	1665.86	1875.5	1475.47	1502.88	1386.42	1505.92	1449.24	1168.05	1890.7	3098.57	2999.44	2410.04	2710.07	2868.33	2356.83	2708.47	2777.16	2644.89	3005.42	2497.28	2573.29	2479.74	2271.32	2631.98	2383.91	2718.14	2865.37	2645.91	2541.81
Q12996	Q12996	CSTF3_HUMAN	CSTF3	Cleavage stimulation factor subunit 3	3351.82	3121.56	2869.34	3437.73	2555.95	3333.54	3717.55	3092.47	3200.84	1632.21		2324.67	2075.22	3346.41	4450.09	1179.09	3070.73	3548.39	3945.55	4318.21	2335.86	4539.75	3919.06	3524.21	4274.98	4616.28	4437.13	3759.21	3831.63	4246.19	4287.61	4108.42	3635.17	4441.65	4563.19	3931.44	4031.37	4223.59	4202.22	4222.77		4458.31	2486.91	3368.59
Q13011	Q13011	ECH1_HUMAN	ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	1013.43	1047.86	350.577	1138.51		1932.87	851.579	871.494		1217.65		1332.81	3436.29	597.963			1169.14	568.471	689.961	591.263		1474.54	608.103				2289.58	1507.01		1582.49	2597.61		2087.39	1621.66	1972.13	2808.5	1417.05	1150.61	2133.01	2093	2369.08	1553.82		2143.65
Q13017	Q13017	RHG05_HUMAN	ARHGAP5	Rho GTPase-activating protein 5	1105.56	1088.58	1458.39	1259.15	1242.51	990.98	1148.86	1302.23	1228.53	1582.94		717.223	715.745	1285.29	1294.38	1182.32	1250.75	1234.51	936.521	1132.34	922.68	1724.66	1449.71	2415.92	2751.47	2483.47	2474.96	1955.88	2550.61	2673.47	2437.55	2417.75	2722.43	2319.44	2517.33	2555.92	2497.39	2450.58	2888.78	2614.01	2474.1	2438.97	2393.82	2326.71
Q13033	Q13033	STRN3_HUMAN	STRN3	Striatin-3	712.883	677.355	721.634	728.662	412.821	237.006	449.834					1025		564.366					240.946	734.43			278.974								1834.86								1207.84					
Q13043	Q13043;Q13188	STK4_HUMAN	STK4	Serine/threonine-protein kinase 4	1443.89	1537.37	1020.7	1130.88	1285.26	1007.67	1311.79	719.516	1053.38	587.732		2287.25	1252.19	1426.16	957.994	1641	1561.49	1864.5	2070.08	1872.02	2359.33	2094.43	1264.69										5250.12		4785.87				6291.15					
Q13045	Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog	2643.32	2782.76	2948.91	2778.02	2980.39	2707.33	2599.92	2798.37	3092.49	3519.35		2482.75	2942.54	2714.71	2782.64	2949.33	2958.21	2992.2	3068.73	3314.06	3293.96	2960.27	2720.74	4204.29	4667.1	4183.97	4894.88	4661.19	4813.95	5060.42	4638.73	4777.43	4615.88	5161.2	4552.98	5038.03	4674.3	4648.29	4397.79	4619.14	5853.91	4908.5	5077.54	5399.27
Q13057	Q13057	COASY_HUMAN	COASY	Bifunctional coenzyme A synthase	4466.87	4994.58	4680.67	4584.97	4701.43	5310.17	5236.22	4771.46	5378.95	3307.09	4066.02	4462.29	4366.31	4452.78	4603.56	5049.98	4765.68	4763.08	4217.75	5537.66	3667.6	4601.46	4770.52	5921.42	5838.43	5723.65	5761.13	5570.43	6064.22	6158.25	6167.26	6161.77	4301.91	5803.97	5629.25	6038.15	5899.88	5296.69	4829.88	5988.01	6737.58	5199.96	5119.74	5968.23
Q13085	O00763;Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1	3424.46	3556.91	3382.23	3650.82	3391.45	4107.47	3384.99	3412.76	4298.37	5041.49	7261.57	3755.17	3004.09	3202.86	3739.01	4310.73	4077.84	3913.76	3542.26	3620.17	4457.13	3824.18	4031.36	4887.52	5202.65	5424.23	4663.37	4784.71	5372.75	4513.48	4650.74	4897.95	4431.2	4580.85	3920.6	5016.51	4693.49	5062.1	4716.98	4493.6	5121.11	4533.4	5480.48	4722.8
Q13094	Q13094	LCP2_HUMAN	LCP2	Lymphocyte cytosolic protein 2		300.553	167.558	602.467			261.837			472.063							447.78			393.729		385.158	398.6																					
Q13099	Q13099	IFT88_HUMAN	IFT88	Intraflagellar transport protein 88 homolog	1769.63	1266.81	1392.95	919.595	2001.08	1937.74	1412.06	1148.94	1107.08	2606.4		1744.56	1485.26	1229.41	1231.04	1810.84	999.063	923.66	1353.62	1127.18	1343.61	1387.75	939.082			4701.68				4281.99						4525.12		5650.15			5588.62			
Q13111	Q13111	CAF1A_HUMAN	CHAF1A	Chromatin assembly factor 1 subunit A	1077.17	933.924	643.291	651.942	1429.61	770.255	625.462	1101.25	993.369	1179.93		707.012	785.141	587.633	655.088	936.41	695.828	792.394	236.754	798.09	944.584	527.266	738.066	2594.67	2494.56	3230.7	2556.9	2329.51	2442.99	2827.18	2722.51	2229.36	2412.06	2838.81	2492.95		2652.35	2442.31	2145.35		2103.27	1909.37	2314.82	2466.89
Q13112	Q13112	CAF1B_HUMAN	CHAF1B	Chromatin assembly factor 1 subunit B	3222.94	3094.67	3234.14	3237.97	3528.73	3598.46	3198.68	3521.13	3544.54	3382.82	2680.84	3096.13	3174.22	3958.24	3300.06	3335.34	3720.03	3182.87	3797.93	4082.11	3845.04	3171.88	3004.4	4840.35	4889.01	4857.09	5309.1	5243.16	5547.39	5377.5	4995.35	5267.76	4936.8	5327.98	4814.89	4349.94	5766.68	5209.09	5491.85	5196.91	4165.06	5415.93	5158.15	4356.93
Q13123	Q13123	RED_HUMAN	IK	Protein Red	4223.08	3931.08	4098.09	3714.13	3225.73	2911.66	3793.28	2982.14	3935.46	2709.52		4110.47	4893.08	3366.58	3489.85	2817.58	2798.32	2631.57	2648.81	3048.48	2364.14	2543.95	2164.74	4654.73	4827.27	4411.63	4244.61	4091.16	4264.04	4071.45	4086.17	4397.26	3653.79	4077.68	4126.97	4262.02	4123.5	3479.28	3804.22	3833.68	4112.82	4343.13	3930.23	3851.99
Q13131	Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1	3817.78	3587.98	4190.06	3890.68	4472.34	3079.21	3710.96	3669.55	3770.26	3749.92	5747.99	3451.72	3303.82	3443.75	2343.57	4747.56	4886.56	4165.82	4198.01	5575.92	5393.03	4317.66	5519.29	6418.8	6918.24	5490.01		5492.19	6465.92	7403.87	6165.58	5930.05	8211.86	6524.99	7221.79	8088.09	7866.26	6936.59	6103.07	6827.4	6732.78	6293.15	9812.84	7369.32
Q13136	Q13136	LIPA1_HUMAN	PPFIA1	Liprin-alpha-1	3069.83	2828.9	2616.12	2666.22	3056.58	3249.22	2757.99	2965.29	2924.53	2652.91	2182.59	2829.71	3739.45	2697.51	3490.99	2459.38	2604.23	2695.79	2620.73	1910.58	2754.59	2485.4	2631.35	3513.54	4313.3	3660.77	3368.91	3833.31	4091.1	4033.08	4368.41	3692.24	4309.7	3339.56	3364.02	2747.19	3171.38	3309.11	2540.71	3629.06	3320.29	3127.51	2379.48	4138.92
Q13144	Q13144	EI2BE_HUMAN	EIF2B5	Translation initiation factor eIF-2B subunit epsilon	3635.18	4083.44	3869.72	4352.17	3526.74	4193.62	3773.99	3567.68	5363.43	7191.52		5483.85	4366.31	4494.19	3489.82	8190.62	4225.6	4148.75	4059.1	3823.69	5464.57	4330.86	4919.61	4284.83	4535.9	4049.51	3988.67	3894.94	5853.3	4221.77	3867.35	6510.17	6663.74	3078.94	7113.26	3750.88		3964.22	6368.59	6834.11	6013.26	6358.58		
Q13148	Q13148	TADBP_HUMAN	TARDBP	TAR DNA-binding protein 43	6016.1	5139.59	5116.96	5436.86	4745.18	5276.65	5588.87	5061.54	5973.8	5108.74	5282.19	6077.72	5335.91	6271.66	6555.67	5147.02	6213.13	5277.77	5609.81	6263.05	5560.57	5096.85	6337.75	4863.59	4701.19	5252.42	5719.01	4933.2	5054.29	5064.92	5543.04	5981.94	5149.34	6116.37	6105.51	7094.27	5703.33	6539.35	6013.55	6292.2	5952.8	6303.36	6038.57	5976.48
Q13151	Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	8301.99	10830.7	8232.69	9267.35	8754.43	6727.43	6518.24	9244.6	7540.24	5612.02	2556.6	9472.19	9209.72	9080.2	9306.96	7459.88	8438.99	8864.09	7556.08	9241.73	5220.29	8786.17	8155.9	11135.2	9825.73	10585.2	10290.1	9479.87	10619.9	9322.82	9150.9	10358.2	6941.32	10323.5	10138.2	8647.59	9529.4	10023.4	9206.91	8055.95	6976.52	8615.01	4252.17	10548.5
Q13153	Q13153	PAK1_HUMAN	PAK1	Serine/threonine-protein kinase PAK 1	1361.27	1018.28	1144.37	896.752	1329.31	882.274	999.669	764.501	1067.37	1625.9		1701.81	2215.17	823.635	1043.5	1787.3	1047.92	1112.58	1199.73	1364.94	1406.52	1036.22	1566.33	1483.83	1597.66	1575.29	2071.28	1313.14	1817	1603.94	1649.68	1646.93	1604.74	1882.34	1491.56	1631.65	1571.07	1719.64	1552.03	1208.59	1897.41	1899.62	1891.36	1250.05
