Intensity Apols_1	Intensity Apols_2	Intensity Apols_3	Intensity Apols_4	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs
23,4691	22,9228	24,1302	24,2175				8	8	4	67,3	67,3	36,1	15,998	0	196,79	226600000	31	sp|P68871|HBB_HUMAN	sp|P68871|HBB_HUMAN
22,7331	23,2738	23,2307	24,43				3	3	1	21,8	21,8	10,6	15,257	0	87,9	106640000	22	sp|P69905|HBA_HUMAN;sp|P02008|HBAZ_HUMAN	sp|P69905|HBA_HUMAN
21,1201	20,1741	NaN	NaN				3	3	3	10,7	10,7	10,7	57,488	0	24,678	3462200	6	sp|P78371|TCPB_HUMAN	sp|P78371|TCPB_HUMAN
22,1041	NaN	NaN	NaN				1	1	1	3,1	3,1	3,1	35,759	0,0087977	6,1372	7428100	2	sp|P78383|S35B1_HUMAN	sp|P78383|S35B1_HUMAN
23,9316	24,8239	25,2659	26,9649				4	4	4	35,5	35,5	35,5	11,284	0	282,78	745180000	32	sp|P81605|DCD_HUMAN	sp|P81605|DCD_HUMAN
19,9678	NaN	NaN	19,2692				1	1	1	0,8	0,8	0,8	191,61	0,0086207	6,0491	1657300	2	sp|Q00610|CLH1_HUMAN	sp|Q00610|CLH1_HUMAN
24,515	24,3662	24,2494	25,4262				7	7	7	36,3	36,3	36,3	15,164	0	122,51	145530000	26	sp|Q01469|FABP5_HUMAN	sp|Q01469|FABP5_HUMAN
20,5013	NaN	NaN	NaN				16	2	0	17,6	4,9	0	65,84	0	21,096	1484200	2	sp|Q01546|K22O_HUMAN	sp|Q01546|K22O_HUMAN
26,2793	26,2174	24,8874	27,3436				20	20	20	27,2	27,2	27,2	113,75	0	323,31	426640000	83	sp|Q02413|DSG1_HUMAN	sp|Q02413|DSG1_HUMAN
19,8363	NaN	NaN	NaN				1	1	1	3,5	3,5	3,5	51,804	0	7,4635	936130	2	sp|Q02790|FKBP4_HUMAN	sp|Q02790|FKBP4_HUMAN
22,9206	22,5302	NaN	NaN				4	4	3	22	22	16,1	36,788	0	108,67	13997000	11	sp|Q04828|AK1C1_HUMAN;sp|P52895|AK1C2_HUMAN	sp|Q04828|AK1C1_HUMAN;sp|P52895|AK1C2_HUMAN
23,5922	23,7315	21,6507	24,7582				7	7	6	32,7	32,7	27,1	22,11	0	149,21	59135000	16	sp|Q06830|PRDX1_HUMAN;sp|Q13162|PRDX4_HUMAN	sp|Q06830|PRDX1_HUMAN
24,9273	24,7997	22,2413	25,6861				20	20	20	42,1	42,1	42,1	76,631	0	323,31	130130000	62	sp|Q08188|TGM3_HUMAN	sp|Q08188|TGM3_HUMAN
24,8108	24,8631	23,915	25,3747				11	11	11	16,1	16,1	16,1	99,986	0	226,46	121930000	34	sp|Q08554|DSC1_HUMAN	sp|Q08554|DSC1_HUMAN
NaN	19,6488	NaN	19,5384				1	1	1	0,5	0,5	0,5	226,59	0,0032258	6,5492	1583400	0	sp|Q12873|CHD3_HUMAN	sp|Q12873|CHD3_HUMAN
19,2288	NaN	NaN	19,844				1	1	1	2,8	2,8	2,8	44,659	0,0062112	6,3564	1555500	1	sp|Q13510|ASAH1_HUMAN	sp|Q13510|ASAH1_HUMAN
NaN	NaN	NaN	18,0255				1	1	1	2,4	2,4	2,4	56,369	0,0083333	5,9671	266810	1	sp|Q13557|KCC2D_HUMAN	sp|Q13557|KCC2D_HUMAN
22,7514	23,1825	23,4362	23,0742				8	8	8	13,3	13,3	13,3	82,86	0	304,73	36762000	24	sp|Q13835|PKP1_HUMAN	sp|Q13835|PKP1_HUMAN
21,7768	18,2195	NaN	23,0959				3	3	3	7,3	7,3	7,3	52,562	0	20,623	12863000	6	sp|Q13867|BLMH_HUMAN	sp|Q13867|BLMH_HUMAN
NaN	22,8756	NaN	NaN				1	1	1	0,2	0,2	0,2	532,4	0,0083565	5,9806	7695500	0	sp|Q14204|DYHC1_HUMAN	sp|Q14204|DYHC1_HUMAN
22,4051	21,2493	NaN	21,7355				5	5	5	7,6	7,6	7,6	99,968	0	75,673	11538000	9	sp|Q14574|DSC3_HUMAN	sp|Q14574|DSC3_HUMAN
20,8785	NaN	NaN	NaN				2	2	2	3,4	3,4	3,4	97,169	0	13,131	1927800	3	sp|Q14974|IMB1_HUMAN	sp|Q14974|IMB1_HUMAN
19,9536	18,5133	NaN	NaN				1	1	1	3,9	3,9	3,9	38,89	0,0062893	6,3977	1389600	2	sp|Q15293|RCN1_HUMAN	sp|Q15293|RCN1_HUMAN
24,7342	24,3176	22,1808	25,1441				6	6	6	12,7	12,7	12,7	51,522	0	57,234	109790000	20	sp|Q15517|CDSN_HUMAN	sp|Q15517|CDSN_HUMAN
NaN	NaN	20,9839	NaN				2	2	2	2,3	2,3	2,3	48,55	0	10,933	2073900	1	sp|Q15645|PCH2_HUMAN	sp|Q15645|PCH2_HUMAN
NaN	20,617	21,4159	22,4536				2	2	2	20,8	20,8	20,8	16,511	0	14,269	12880000	5	sp|Q15828|CYTM_HUMAN	sp|Q15828|CYTM_HUMAN
NaN	19,6572	NaN	19,7591				1	1	1	4,2	4,2	4,2	28,565	0,0063291	6,4051	1714100	3	sp|Q16563|SYPL1_HUMAN	sp|Q16563|SYPL1_HUMAN
20,4218	19,7965	NaN	19,334				2	2	2	5	5	5	60,673	0	20,158	2976200	5	sp|Q16610|ECM1_HUMAN	sp|Q16610|ECM1_HUMAN
21,0115	NaN	NaN	NaN				1	1	1	3,1	3,1	3,1	70,905	0	12,683	2113900	2	sp|Q16881|TRXR1_HUMAN	sp|Q16881|TRXR1_HUMAN
19,936	NaN	NaN	20,8936				1	1	1	3,8	3,8	3,8	36,991	0,0064103	6,5057	2951300	5	sp|Q53RT3|APRV1_HUMAN	sp|Q53RT3|APRV1_HUMAN
NaN	22,5933	23,8001	NaN				1	1	1	1,7	1,7	1,7	46,379	0	7,3665	41381000	5	sp|Q5T2N8|ATD3C_HUMAN;sp|Q5T9A4|ATD3B_HUMAN	sp|Q5T2N8|ATD3C_HUMAN;sp|Q5T9A4|ATD3B_HUMAN
22,2274	NaN	23,1659	23,5045				2	2	2	3,3	3,3	3,3	64,135	0	47,951	26550000	4	sp|Q5T749|KPRP_HUMAN	sp|Q5T749|KPRP_HUMAN
19,7465	19,2091	NaN	20,7033				1	1	1	2,2	2,2	2,2	63,254	0	10,503	3193000	2	sp|Q6P4A8|PLBL1_HUMAN	sp|Q6P4A8|PLBL1_HUMAN
23,7137	22,1647	21,8308	23,9394				8	8	8	30,2	30,2	30,2	60,54	0	323,31	48519000	28	sp|Q6UWP8|SBSN_HUMAN	sp|Q6UWP8|SBSN_HUMAN
20,9681	20,6254	20,1172	NaN				3	3	3	12	12	12	30,847	0	19,973	4806100	5	sp|Q6ZVX7|FBX50_HUMAN	sp|Q6ZVX7|FBX50_HUMAN
NaN	18,8357	NaN	20,2214				1	1	1	4,4	4,4	4,4	36,596	0,0085227	6,0197	1690400	1	sp|Q7L5L3|GDPD3_HUMAN	sp|Q7L5L3|GDPD3_HUMAN
NaN	NaN	20,4342	NaN				1	1	1	0,8	0,8	0,8	113,82	0,0085714	6,0443	1416800	1	sp|Q86SJ6|DSG4_HUMAN	sp|Q86SJ6|DSG4_HUMAN
21,5436	NaN	NaN	NaN				1	1	1	1,7	1,7	1,7	48,47	0,008547	6,0377	9092400	1	sp|Q86TJ2|TAD2B_HUMAN	sp|Q86TJ2|TAD2B_HUMAN
21,2576	21,1127	NaN	22,8635				3	3	3	7,5	7,5	7,5	47,174	0	88,96	12406000	8	sp|Q8IW75|SPA12_HUMAN	sp|Q8IW75|SPA12_HUMAN
25,2781	25,1434	20,6046	25,5783			+	22	18	18	40,8	35,8	35,8	56,865	0	323,31	135830000	60	sp|Q8N1N4|K2C78_HUMAN;CON__Q8N1N4-2;CON__Q7RTT2	sp|Q8N1N4|K2C78_HUMAN;CON__Q8N1N4-2;CON__Q7RTT2
NaN	NaN	NaN	20,4836				1	1	1	3,9	3,9	3,9	49,172	0	7,6179	1466100	1	sp|Q8N4F0|BPIB2_HUMAN	sp|Q8N4F0|BPIB2_HUMAN
NaN	NaN	NaN	20,8481				1	1	1	3,5	3,5	3,5	52,441	0	79,373	1887600	2	sp|Q8TDL5|BPIB1_HUMAN	sp|Q8TDL5|BPIB1_HUMAN
21,2543	21,2732	NaN	22,0009				5	5	5	11,5	11,5	11,5	68,064	0	95,921	9232400	9	sp|Q8WVV4|POF1B_HUMAN	sp|Q8WVV4|POF1B_HUMAN
NaN	NaN	NaN	20,4727				4	4	4	15,7	15,7	15,7	35,964	0	23,685	1455100	5	sp|Q92820|GGH_HUMAN	sp|Q92820|GGH_HUMAN
21,7773	21,342	NaN	26,2112				4	4	4	36,5	36,5	36,5	22,739	0	43,66	83941000	12	sp|Q96DA0|ZG16B_HUMAN	sp|Q96DA0|ZG16B_HUMAN
NaN	19,8761	NaN	NaN				1	1	1	0,7	0,7	0,7	119,65	0,0087719	6,1322	4416800	1	sp|Q96EP0|RNF31_HUMAN	sp|Q96EP0|RNF31_HUMAN
24,7154	24,2772	21,1736	25,0261				10	10	10	27,2	27,2	27,2	46,276	0	323,31	85386000	30	sp|Q96P63|SPB12_HUMAN	sp|Q96P63|SPB12_HUMAN
22,716	22,8746	21,5597	23,0885				7	7	7	20	20	20	49,364	0	62,943	28676000	21	sp|Q96QA5|GSDMA_HUMAN	sp|Q96QA5|GSDMA_HUMAN
21,2803	NaN	NaN	19,4046				3	3	3	9,4	9,4	9,4	59,366	0	24,581	3240800	4	sp|Q99832|TCPH_HUMAN	sp|Q99832|TCPH_HUMAN
20,1526	NaN	19,4719	NaN				1	1	1	3,1	3,1	3,1	29,591	0,0081967	5,9252	3437600	1	sp|Q9BQ13|KCD14_HUMAN	sp|Q9BQ13|KCD14_HUMAN
19,5671	17,8269	NaN	NaN				1	1	1	11,4	11,4	11,4	13,941	0	6,6789	1009300	2	sp|Q9BRA2|TXD17_HUMAN	sp|Q9BRA2|TXD17_HUMAN
18,2208	20,3403	NaN	21,6066				1	1	1	8	8	8	14,246	0	7,7452	6745400	3	sp|Q9GZZ8|LACRT_HUMAN	sp|Q9GZZ8|LACRT_HUMAN
NaN	NaN	NaN	21,8991				3	3	3	0,7	0,7	0,7	596,33	0	18,83	3911100	3	sp|Q9HC84|MUC5B_HUMAN	sp|Q9HC84|MUC5B_HUMAN
21,2409	21,4735	20,3346	21,6771				1	1	1	14,4	14,4	14,4	11,662	0	72,097	10066000	5	sp|Q9HCY8|S10AE_HUMAN	sp|Q9HCY8|S10AE_HUMAN
20,7366	20,6361	NaN	22,3893				2	2	2	13	13	13	18,721	0	44,606	8870500	3	sp|Q9NZH8|IL36G_HUMAN	sp|Q9NZH8|IL36G_HUMAN
27,602	27,1618	28,0699	29,6243				14	14	14	93,8	93,8	93,8	15,892	0	323,31	1950600000	82	sp|Q9NZT1|CALL5_HUMAN	sp|Q9NZT1|CALL5_HUMAN
20,0572	20,2625	NaN	21,8764				1	1	1	7	7	7	260,73	0	7,7988	6198700	2	sp|Q9UGM3|DMBT1_HUMAN	sp|Q9UGM3|DMBT1_HUMAN
21,5271	NaN	19,7329	21,7012				3	3	3	6,7	6,7	6,7	47,351	0	18,399	7302900	6	sp|Q9UI42|CBPA4_HUMAN	sp|Q9UI42|CBPA4_HUMAN
NaN	18,1602	18,0446	NaN				1	1	1	1,9	1,9	1,9	84,767	0,0084507	5,9972	563300	2	sp|Q9UL63|MKLN1_HUMAN	sp|Q9UL63|MKLN1_HUMAN
20,2337	NaN	NaN	NaN				1	1	1	5,3	5,3	5,3	43,786	0	8,0017	1233000	3	sp|Q9UQ80|PA2G4_HUMAN	sp|Q9UQ80|PA2G4_HUMAN
19,6132	19,6202	NaN	20,7434				1	1	1	7,2	7,2	7,2	32,02	0,009009	6,2335	3363300	2	sp|Q9Y337|KLK5_HUMAN	sp|Q9Y337|KLK5_HUMAN
22,8624	NaN	23,7168	23,7027				1	1	1	1,5	1,5	1,5	70,537	0,0090361	6,264	35066000	3	sp|Q9Y5A7|NUB1_HUMAN	sp|Q9Y5A7|NUB1_HUMAN
